name,smiles,solvent_smiles
"Zhao_1","CC(C=C1C)=C2N1[B-](F)(F)[N+]3=C(C)C=C(C)C3=C2C4=CC=C(C(NCCN5CCOCC5)=O)C=C4","CC#N"
"Zhao_2","OC1C2=C(C3=CC=C2)C4=C(C=CC=C4C=C3)C(N51)=NC6=C5C7=C(C8=C9C=CC=C86)C(C=C9)=CC=C7","CN(C)C=O"
"Zhao_3","C1(C(C=CC=C2)=C2C3=C4N=C(C5=CC=C(C6=CC=C(C7=CC=C(C8=NC9=C(C(C=CC=C%10)=C%10C%11=C9C=CC=C%11)N8C%12=CC=CC=C%12)C=C7)C%13=NSN=C%136)C=C5)N3C%14=CC=CC=C%14)=C4C=CC=C1","ClCCl"
"Zhao_4","C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC4=C5C(N(C6=CC=CC=C6)C(C=C(N(C7=CC=CC=C7)C8=C9B%10OC%11=C(C=CC=C%11)C9=CC(N(C%12=CC=CC=C%12)C%13=CC=CC=C%13)=C8)C%10=C%14)=C%14B5C(C=CC=C%15)=C%15N4C%16=CC=CC=C%16)=C1","Cc1ccccc1"
"Zhao_5","CCOC1=C(/C=C/C2=[N+](CC)C(C=CC=C3)=C3C2(C)C)CCC/C1=C\C=C4C(C)(C)C(C=CC=C5)=C5N/4CC","CS(=O)C"
